Naslovi,Ocene,Število glasov,Leto izdaje,Žanr
Terminator,8.1, 975K,1984,Action Adventure Sci-Fi 
Veliki Lebowski,8.1, 898K,1998,Comedy Crime 
Sovraštvo,8.1, 216K,1995,Crime Drama 
Sedmi pečat,8.1, 211K,1957,Drama Fantasy 
Jai Bhim,8.6, 229K,2021,Crime Drama 
Soba,8.1, 472K,2015,Drama Thriller 
Hotel Ruanda,8.1, 386K,2004,Biography Drama History 
Vod smrti,8.1, 461K,1986,Drama War 
The Best Years of Our Lives,8.1, 76K,1946,Drama Romance War 
Pred mrakom,8.1, 306K,2004,Drama Romance 
"Moje pesmi, moje sanje",8.1, 281K,1965,Biography Drama Family 
The Exorcist,8.1, 484K,1973,Horror 
Neverjetni,8.0, 868K,2004,Animation Action Adventure 
Hačiko,8.1, 332K,2009,Biography Drama Family 
Dirka življenja,8.1, 543K,2013,Biography Drama Sport 
Čarovnik iz Oza,8.1, 455K,1939,Adventure Family Fantasy 
Ostani z menoj,8.1, 470K,1986,Adventure Comedy Drama 
La passion de Jeanne d'Arc,8.1, 66K,1928,Biography Drama History 
Koe no katachi,8.1, 127K,2016,Animation Drama 
Zelezni velikan,8.1, 249K,1999,Animation Action Adventure 
Babam ve Oglum,8.2, 98K,2005,Drama Family 
Televizijska mreža,8.1, 182K,1976,Drama 
Služkinja,8.1, 192K,2016,Drama Romance Thriller 
Alžirska bitka,8.1, 72K,1966,Drama War 
Grozdi jeze,8.1, 106K,1940,Drama 
Biti ali ne biti,8.1, 48K,1942,Comedy Romance War 
V divjino,8.0, 684K,2007,Adventure Biography Drama 
Služkinje,8.1, 518K,2011,Drama 
Neskončen dan,8.0, 724K,1993,Comedy Drama Fantasy 
Drishyam,8.2, 103K,2015,Crime Drama Mystery 
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,8.2, 88K,2020,Animation Action Adventure 
Gangs of Wasseypur,8.2, 110K,2012,Action Comedy Crime 
